Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp609,0,0,29,23,7,0,0,0,0,10,11,-1.5,56,-0.3107,-0.3747,-0.3947,-0.4097,-0.4257
exp610,0,0,0,25,13,0,3,0,0,10,29,-1.5,180,-0.3547,-0.4187,-0.4647,-0.4967,-0.5257
exp611,0,0,37,23,0,0,0,0,0,10,10,-1.2,180,-0.0657,-0.2357,-0.3297,-0.3427,-0.3507
exp612,0,0,28,18,0,0,0,0,0,24,24,-1.5,180,-0.3867,-0.3977,-0.4087,-0.4227,-0.4377
exp613,0,0,0,0,20,20,20,0,0,10,10,-1.2,30,-0.3257,-0.3457,-0.3587,-0.3707,-0.3807
exp614,0,0,40,0,20,0,0,0,0,10,10,-1.5,150,-0.0787,-0.1187,-0.0037,-0.2247,-0.2967
exp615,0,1,0,22,0,20,0,0,0,27,27,-1,111,-0.3297,-0.3497,-0.3637,-0.3757,-0.3867
exp616,0,0,31,18,11,0,0,0,0,10,10,-1.5,180,-0.0787,-0.1037,-0.1317,-0.1627,-0.1977
exp617,0,20,40,0,0,0,0,0,0,10,10,-1.5,180,-0.4727,-0.5177,-0.5517,-0.5737,-0.5967
exp618,0,0,0,17,10,0,0,0,0,37,43,-1.5,180,-0.2667,-0.2857,-0.3027,-0.3187,
exp619,0,0,0,0,20,0,0,0,0,50,50,-1.5,30,-0.4347,-0.4617,-0.4847,-0.5057,-0.5277
exp620,0,0,0,3,11,16,30,0,0,10,10,-1,180,-0.3007,-0.3207,-0.3347,-0.3467,-0.3567
exp621,0,0,2,25,0,4,0,0,0,10,39,-1,180,-0.2847,-0.3017,-0.3157,-0.3267,-0.3377
exp622,0,0,37,19,0,0,0,4,0,10,10,-1.4,180,-0.3547,-0.4007,-0.4307,-0.4647,-0.4907
exp623,0,0,17,13,0,0,30,0,0,10,10,-1,90,-0.3477,-0.3677,-0.3827,-0.3947,-0.4047
exp624,0,0,40,20,0,0,0,0,0,10,10,-1.4,84,-0.0847,-0.1357,-0.1807,-0.3467,-0.4187
exp625,0,0,0,25,10,0,0,20,5,10,10,-1.5,180,-0.2397,-0.2787,-0.3027,-0.3207,-0.3367
exp626,0,0,37,0,3,0,0,20,0,10,10,-1.5,180,-0.0227,-0.2607,-0.2887,-0.3937,-0.4737
exp627,0,0,0,25,6,0,0,0,0,10,39,-1.5,165,-0.3227,-0.3417,,-0.3867,-0.4027
exp628,0,0,33,7,20,0,0,0,0,10,10,-1.3,180,-0.0207,-0.1127,-0.1587,-0.2117,-0.3407
exp629,0,0,0,25,0,0,0,0,0,45,45,-1.5,158,-0.3497,-0.3577,-0.3677,-0.3817,-0.3987
exp630,0,0,0,19,0,20,0,0,0,10,31,-1.4,88,-0.2567,-0.2767,-0.2877,-0.2967,-0.3047
exp631,0,0,0,11,3,17,0,0,0,10,39,-1,158,-0.3127,-0.3347,-0.3507,-0.3627,-0.3747
exp632,20,0,15,0,18,7,0,0,0,10,10,-1.5,30,-0.3557,-0.3847,-0.4067,-0.4257,-0.4427
exp633,0,0,0,0,20,15,0,0,0,35,35,-1.4,180,-0.2887,-0.3117,-0.3267,-0.3387,-0.3497
exp634,0,0,0,11,0,20,29,0,0,10,10,-1,75,-0.3177,-0.3387,-0.3537,-0.3667,-0.3777
exp635,0,13,0,15,20,12,0,0,0,10,10,-1.5,180,-0.3117,-0.3287,-0.3477,-0.3687,-0.3887
exp636,0,12,28,0,20,0,0,0,0,10,10,-1.5,91,-0.3987,-0.4297,-0.4537,-0.4737,-0.4927
exp637,0,0,40,19,0,0,1,0,0,10,10,-1.5,76,-0.0707,-0.0997,-0.1287,-0.0047,0.0013
exp638,0,0,0,25,20,0,0,0,0,25,25,-1.5,66,-0.3397,-0.3887,-0.4287,-0.4597,-0.4887
exp639,0,0,0,11,20,20,0,9,0,10,10,-1.5,180,-0.2237,-0.2597,-0.2807,-0.2977,-0.3117
exp640,0,0,0,21,0,0,5,0,0,10,44,-1,152,-0.3407,-0.3667,-0.3867,-0.4027,-0.4167
exp641,0,0,0,4,20,16,0,0,0,10,30,-1.5,159,-0.1927,-0.2327,-0.2507,-0.2617,-0.2717
exp642,0,0,8,20,0,0,0,0,0,10,42,-1,174,-0.2917,-0.3057,-0.3157,-0.3237,-0.3307
exp643,0,0,0,23,12,0,0,20,0,10,15,-1.5,180,-0.2497,-0.2827,-0.3027,-0.3187,-0.3317
exp644,0,0,0,11,8,16,16,0,0,19,19,-1.5,129,-0.2717,-0.2877,-0.2957,-0.3027,-0.3087
exp645,0,0,25,20,13,0,0,2,0,10,10,-1.5,180,-0.1167,-0.3517,-0.3807,-0.4007,-0.4157
exp646,0,0,0,12,18,0,30,0,0,10,10,-1.1,168,-0.2677,-0.2837,-0.2987,-0.3137,-0.3287
exp647,0,0,0,25,0,0,0,0,0,45,45,-1,153,-0.2857,-0.2987,-0.3087,-0.3167,-0.3247
exp648,0,0,0,6,5,19,30,0,0,10,10,-1.5,84,-0.4127,-0.4357,-0.4517,-0.4657,-0.4777
exp649,0,0,0,11,20,0,6,0,0,10,33,-1.4,180,-0.2227,-0.2607,-0.2727,-0.2797,-0.2867
exp650,0,0,40,15,0,5,0,0,0,10,10,-1.3,93,-0.0727,0.0063,-0.1937,-0.4167,-0.4257
exp651,0,0,0,0,20,17,16,0,0,10,17,-1.4,135,-0.2487,-0.2757,-0.2907,-0.3027,-0.3117
exp652,0,0,0,25,0,0,0,0,0,16,45,-1.4,146,-0.1137,-0.2867,0.0123,-0.3127,-0.3217
exp653,0,0,0,14,18,0,0,0,0,10,38,-1.3,180,-0.2497,-0.2727,-0.2837,-0.2917,-0.2997
exp654,0,0,0,5,0,0,30,0,0,35,35,-1,135,-0.2637,-0.2807,-0.2927,-0.3027,-0.3127
exp655,0,0,0,15,0,0,27,0,0,28,28,-1.5,180,-0.4537,-0.4837,-0.5047,-0.5217,-0.5367
exp656,20,25,0,0,0,0,0,0,0,25,25,-1,38,-0.7987,-0.8467,-0.8797,-0.9047,-0.9257
exp657,0,0,40,0,0,0,0,0,0,10,30,-1.2,180,-0.3957,-0.4297,-0.4517,-0.4687,-0.4837
exp658,0,0,0,25,0,17,0,0,0,10,28,-1.4,30,-0.3067,-0.3247,-0.3377,-0.3497,-0.3607
exp659,0,0,0,2,19,17,0,0,0,10,32,-1.5,180,-0.2327,-0.2597,-0.2757,-0.2877,-0.2977
exp660,0,15,0,0,20,20,0,5,0,10,10,-1.5,111,-0.3007,-0.3367,-0.3617,-0.3827,-0.4007
exp661,0,0,3,12,20,0,0,0,0,35,35,-1.2,180,-0.2497,-0.2787,-0.2887,-0.2957,-0.3027
exp662,0,23,0,0,15,20,0,0,0,10,12,-1.5,49,-0.4417,-0.4817,-0.5127,-0.5417,-0.5647
exp663,0,9,0,0,20,12,0,0,0,29,29,-1.5,180,-0.2227,-0.2537,-0.2697,-0.2807,-0.2897
exp664,0,0,40,19,1,0,0,0,0,10,10,-1.5,113,-0.0507,-0.1127,-0.0257,-0.1627,-0.1887
exp665,0,0,0,25,0,0,0,0,0,45,45,-1.5,101,-0.2407,-0.2667,-0.2807,-0.2907,-0.2987
exp666,0,0,9,24,5,0,0,0,0,32,32,-1.5,81,-0.2857,-0.3077,-0.3167,-0.3237,-0.3307
exp667,0,0,40,20,0,0,0,0,0,10,10,-1.5,180,-0.0997,-0.0537,-0.1367,-0.0317,-0.1747
exp668,0,0,40,0,0,0,0,0,0,10,30,-1.5,180,-0.0907,-0.0357,-0.1577,-0.1907,-0.2207
exp669,0,0,45,15,5,0,0,0,0,5,5,-1.5,180,-0.1007,-0.1177,-0.1367,-0.1587,-0.1787
exp670,0,5,45,15,0,0,0,0,0,5,5,-1,30,-0.3717,-0.3927,-0.4077,-0.4187,-0.4297
exp671,0,0,35,25,5,0,0,0,0,5,5,-1.5,73,-0.0987,-0.1417,-0.1877,-0.3037,-0.3837
exp672,0,5,36,19,0,0,5,0,0,5,5,-1.5,150,-0.0977,-0.0597,-0.1277,-0.1437,-0.1607
exp673,0,5,45,15,0,0,0,0,0,5,5,-1.5,142,-0.0707,-0.1147,-0.1327,-0.0397,-0.1687
exp674,5,0,45,15,0,0,0,0,0,5,5,-1.5,180,-0.0737,-0.0967,-0.1237,-0.1527,-0.1807
exp675,0,0,45,15,0,5,0,0,0,5,5,-1.5,135,-0.0547,-0.1057,-0.1267,-0.1487,-0.1687
exp676,0,5,35,20,0,5,0,0,0,5,5,-1.5,30,-0.4377,-0.4467,-0.4687,-0.4917,-0.5137
exp677,0,0,45,15,0,0,5,0,0,5,5,-1.5,176,-0.0747,-0.1147,-0.1307,-0.0457,-0.1637
exp678,0,5,45,15,0,0,0,0,0,5,5,-1.5,30,0.0013,-0.1687,-0.2157,-0.4287,-0.4317
exp679,0,0,45,15,0,0,0,0,5,5,5,-1.5,180,-0.1327,-0.3427,-0.3967,-0.4177,-0.4307
exp680,0,0,35,25,5,0,0,0,0,5,5,-1,180,-0.3067,-0.3237,-0.3367,-0.3467,-0.3557
exp681,0,0,35,25,0,0,5,0,0,5,5,-1.5,180,-0.0677,-0.1117,-0.0437,-0.0337,-0.1607
exp682,0,0,45,15,0,0,5,0,0,5,5,-1.5,83,-0.0397,-0.1037,-0.1307,-0.1557,-0.1797
exp683,5,0,40,15,5,0,0,0,0,5,5,-1,118,-0.4987,-0.5327,-0.5577,-0.5777,-0.5947
exp684,0,2,43,15,0,0,5,0,0,5,5,-1.5,135,-0.0927,-0.0507,-0.0407,-0.1527,-0.1727
exp685,5,0,35,20,0,0,5,0,0,5,5,-1.5,118,-0.0657,-0.0907,-0.1207,-0.1517,-0.0027
exp686,0,0,38,15,0,0,5,0,0,5,12,-1.5,131,-0.0857,-0.0447,-0.1237,-0.0267,-0.0197
exp687,5,0,40,15,0,0,5,0,0,5,5,-1.3,158,-0.2197,-0.3687,-0.3987,-0.4147,-0.4277
exp688,0,0,45,15,0,0,5,0,0,5,5,-1.5,110,-0.0847,-0.1057,-0.1277,-0.1497,-0.1697
exp689,0,0,35,25,0,0,5,0,0,5,5,-1.5,121,-0.0877,-0.0397,-0.1247,-0.1427,-0.1617
exp690,0,1,35,25,0,0,0,4,0,5,5,-1.5,157,-0.2037,-0.4047,-0.4297,-0.4507,-0.4687
exp691,5,0,35,20,5,0,0,0,0,5,5,-1.5,117,-0.0627,-0.0907,-0.1217,-0.1537,-0.1877
exp692,0,0,35,24,0,0,5,0,0,6,6,-1.5,114,-0.0567,-0.0437,-0.1277,-0.1467,-0.1657
exp693,0,0,45,15,0,0,5,0,0,5,5,-1.5,131,-0.0617,-0.0507,-0.1267,-0.0327,-0.1657
exp694,0,4,41,15,0,5,0,0,0,5,5,-1.5,104,-0.0697,-0.0947,-0.1207,-0.1467,-0.1697
exp695,0,0,35,25,0,0,5,0,0,5,5,-1.5,138,-0.0937,-0.1117,-0.1297,-0.1477,-0.1667
exp696,5,0,35,15,5,5,0,0,0,5,5,-1.5,30,-0.0837,-0.1867,-0.3447,-0.3607,-0.3697
exp697,5,0,45,15,0,0,0,0,0,5,5,-1.5,96,-0.0677,-0.1127,-0.1557,-0.1937,-0.2267
exp698,0,0,40,15,5,0,5,0,0,5,5,-1.4,180,-0.0927,-0.1097,-0.1287,-0.0287,-0.1667
exp699,0,0,38,15,0,5,2,0,5,5,5,-1.5,30,-0.5497,-0.5937,-0.6277,-0.6557,-0.6817
exp700,4,1,35,25,0,0,0,0,0,5,5,-1.5,112,-0.0687,-0.0877,-0.0247,-0.1357,-0.1597
exp701,0,5,40,15,0,0,5,0,0,5,5,-1.5,90,-0.0787,-0.1027,-0.1277,-0.1507,-0.1737
exp702,0,0,35,25,5,0,0,0,0,5,5,-1.5,128,-0.0467,-0.1137,-0.1367,-0.1607,-0.1847
exp703,5,0,35,25,0,0,0,0,0,5,5,-1.5,30,-0.1157,-0.1977,-0.3517,-0.3757,-0.3887
exp704,3,0,42,15,0,0,5,0,0,5,5,-1.5,143,-0.0777,-0.0967,-0.0317,-0.1427,-0.1667
exp705,5,0,35,15,0,5,5,0,0,5,5,-1.5,159,-0.0657,-0.0817,-0.1017,-0.0197,-0.0137
exp706,0,5,45,15,0,0,0,0,0,5,5,-1,163,-0.3137,-0.3327,-0.3457,-0.3567,-0.3667
exp707,0,0,36,15,0,5,5,0,4,5,5,-1.5,162,-0.0537,-0.0977,-0.1697,-0.3897,-0.4107
exp708,5,0,40,15,0,0,5,0,0,5,5,-1.5,129,-0.0287,-0.0177,-0.1347,-0.1707,-0.2047
exp709,0,5,38,15,5,0,0,0,0,7,7,-1.5,120,-0.0537,-0.1147,-0.1367,-0.1597,-0.1797
