Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Tafel Slope (mV/dec),Exchange Current Density (mA/cm²),R²,Overpotential @ 50 mA,Cdl mF cm-2
exp117,5,5,0,5,5,25,5,5,5,10,0,-1.3,90,164.20879143172084,0.064794200375219,0.9961482108372368,-0.4857,8.8310362061461
exp118,5,5,0,5,5,0,5,10,20,5,10,-1.2,90,122.71131406842044,3.1840879321935625e-05,0.9990023409495132,-0.7817,0.233780594695
exp119,0,5,5,15,0,20,0,15,0,10,0,-1.4,90,184.3358507723352,0.0365917993114211,0.9992991664880384,-0.5807,5.312211633041
exp120,5,10,0,10,0,0,0,0,30,15,0,-1.4,120,120.85013879236104,1.1171966899405495e-05,0.9990736902095204,-0.8337,0.1827041364361
exp121,20,5,10,5,0,5,5,0,20,0,0,-1.4,150,150.11873606786756,9.728977640656887e-05,0.9996489531650192,-0.8927,0.1645891131625
exp122,5,0,30,0,0,0,5,5,20,0,5,-1.3,90,189.37127123133567,0.0008216672519018,0.998480540172592,-0.9127,0.6561577860237
exp123,10,10,10,5,10,0,0,15,5,5,0,-1.2,90,101.86232550083808,2.743134810041353e-05,0.998251963208316,-0.6947,0.5785559475425
exp124,0,5,0,5,35,0,0,10,10,5,0,-1.2,150,204.2089742951087,0.6869495059270018,0.5334664181423708,-0.3507,28.7268147818668
exp125,5,0,0,0,10,5,15,10,25,0,0,-1.1,120,184.1863709705271,0.0094816385103669,0.9981377910860394,-0.7127,0.5216860272281
exp126,5,0,0,0,5,30,10,0,20,0,0,-1.3,120,138.4737621780313,0.0004531491839442,0.9999352110042136,-0.7277,0.2540169524696
exp127,0,5,0,15,5,15,0,5,0,15,10,-1.5,90,322.3520348115118,2.3929588340460244,0.6265582172930864,-0.3477,33.8240281857295
exp128,0,20,0,5,15,5,5,10,0,10,0,-1.2,150,108.0925571311687,0.0391273977189357,0.993538138582352,-0.3447,15.8982335126197
exp129,10,10,5,0,0,10,5,5,10,5,10,-1.5,60,195.6635709033357,0.0687503818009821,0.9967905987209964,-0.5797,2.0418539494174
exp130,5,0,5,5,0,15,0,0,10,25,5,-1.2,90,165.80148896380297,0.0074525117430015,0.9944481979005266,-0.6657,0.2534888749675
exp131,5,15,0,15,0,0,5,5,0,15,10,-1.5,60,164.66093650194014,0.0016584764040363,0.9946244737262,-0.7617,0.4103715325666
exp132,0,0,5,5,15,0,0,15,5,20,5,-1.1,60,162.16421777635065,0.0989959099176877,0.9932564058601704,-0.4467,6.122584669931
exp133,15,0,0,10,0,20,0,0,0,25,0,-1.1,150,127.74143453397956,0.0008309499407862,0.9985636908499578,-0.6227,0.7129230475424
exp134,0,5,15,10,5,10,0,0,10,15,0,-1.5,120,146.20567086017053,0.0029384110604135,0.9913689830056924,-0.6467,0.8751278409133
exp135,0,10,30,0,0,0,0,20,0,0,10,-1.1,60,128.9689751900646,3.0880208660543924e-05,0.996482388633807,-0.8347,0.1565911158476
exp136,0,5,10,0,20,5,5,10,15,0,0,-1.2,90,110.78865754346778,0.0879238739104978,0.9843642859796248,-0.3157,3.0565857184233
exp137,10,5,0,25,0,5,5,20,0,0,0,-1.3,120,338.99124698218833,0.6216584196925442,0.4659562351111367,-0.5607,13.2397797455554
exp138,0,0,0,10,0,0,10,15,15,15,5,-1.1,150,143.76613629895596,0.000718132083167,0.9972207692454262,-0.7267,3.398027579213
exp139,0,0,5,5,10,0,20,25,0,0,5,-1.2,60,360.22587635823913,2.396555526906669,0.807035269114325,-0.4147,48.554046548555505
exp140,0,10,15,0,0,15,5,10,0,10,5,-1.2,60,179.6983057673415,0.0443068570792457,0.9972961086311706,-0.5527,3.1321890839083
exp141,20,0,0,10,0,10,10,0,5,15,0,-1.4,150,164.71856678570387,0.0084984695084207,0.998043398353366,-0.6397,1.6519518289834
exp142,25,5,5,5,0,0,0,0,10,10,10,-1.2,150,144.18144756414335,6.452531021256252e-05,0.9980342690735716,-0.8657,0.1491054800344
exp143,5,0,15,0,0,5,0,15,5,20,5,-1.2,90,138.80842060141612,0.000278501263175,0.9979269544040764,-0.7587,0.2581663201537
exp144,30,5,0,0,5,0,5,25,0,0,0,-1.5,90,155.33390899571913,0.0029196035381506,0.9994444333249268,-0.6767,1.3735474962634
exp145,15,0,20,0,5,0,0,15,10,0,5,-1.5,60,80.1007130705923,1.784381382708446e-07,0.9974482872230616,-0.7197,0.2196258316756
exp146,5,5,0,5,10,0,0,0,25,20,0,-1.5,120,123.6438872403358,9.669855894106805e-05,0.9989060507402988,-0.7477,0.1748277527502
exp147,5,5,10,5,15,0,0,10,15,5,0,-1.5,90,148.30562163278947,0.0008991312765515,0.9974122532499736,-0.7427,0.4683322952137
exp148,5,5,5,0,0,5,0,30,15,5,0,-1.3,60,127.07574993566124,7.820593213909055e-05,0.9976569325983822,-0.7617,0.1534581610382
