Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 2.0 mA/cm2_Ar,Overpotential V at 10.0 mA/cm2_Ar,Overpotential V at 20.0 mA/cm2_Ar,Overpotential V at 30.0 mA/cm2_Ar,Overpotential V at 40.0 mA/cm2_Ar,Overpotential @ 50 mA_Ar,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Cdl mF cm-2_Ar
exp390,0,0,0,0,10,0,10,5,20,15,10,-1.3,120,-0.6587,-0.7137,-0.7417,-0.7617,-0.7777,-0.7917,121.3731703,3.41E-05,0.086561577
exp391,0,0,0,5,5,5,10,15,5,0,25,-1.2,150,-0.2497,-0.3407,-0.3917,-0.4267,-0.4547,-0.4777,152.7190221,0.039986391,9.473085545
exp392,5,0,15,0,10,10,0,10,15,5,0,-1.1,60,-0.6587,-0.7227,-0.7517,-0.7697,-0.7857,-0.7987,119.7527961,2.60E-05,0.109274595
exp393,0,15,5,5,5,0,5,30,5,0,0,-1.5,150,-0.3017,-0.3827,-0.4267,-0.4597,-0.4877,-0.5127,136.1757998,0.008874386,9.089123404
exp394,5,10,10,0,0,0,0,30,10,0,5,-1.5,150,-0.7357,-0.7777,-0.7977,-0.8127,-0.8257,-0.8377,111.5809681,3.06E-06,0.106928801
exp395,0,0,10,10,0,0,0,5,0,40,5,-1.2,150,-0.7197,-0.7897,-0.8187,-0.8387,-0.8557,-0.8707,140.0450978,4.51E-05,0.204735148
exp396,0,0,0,0,20,5,5,30,0,5,5,-1.2,90,,,,,,,,,
exp397,0,0,0,0,15,5,5,10,0,15,20,-1.3,120,,,,,,,,,
exp398,5,0,0,0,5,15,0,10,30,0,5,-1.4,150,,,,,,,,,
exp399,5,20,0,0,5,0,5,10,0,20,5,-1.3,60,,,,,,,,,
exp400,0,15,10,10,5,10,0,10,5,5,0,-1.3,120,,,,,,,,,
exp401,0,10,5,0,5,10,5,10,20,0,5,-1.5,90,-0.3967,-0.5197,-0.5707,-0.6027,-0.6267,-0.6487,160.3964336,0.005927865,0.974460142
exp402,10,0,10,5,0,0,15,0,0,20,10,-1.5,120,-0.5207,-0.5967,-0.6347,-0.6597,-0.6797,-0.6977,137.4789713,0.000606807,0.443275357
exp403,0,15,0,5,0,5,5,15,5,20,0,-1.5,90,-0.3717,-0.4727,-0.5297,-0.5677,-0.5967,-0.6207,157.2394884,0.006361373,1.98559311
exp404,5,0,5,10,0,5,5,15,10,15,0,-1.2,120,-0.3937,-0.5087,-0.6197,-0.6767,-0.7157,-0.7487,191.9580436,0.00852125,0.601422637
exp405,0,5,0,5,5,0,10,15,10,0,20,-1.3,90,-0.3897,-0.5357,-0.6047,-0.6327,-0.6507,-0.6647,154.8517345,0.00251516,3.105944087
exp406,20,0,0,0,15,0,5,20,0,10,0,-1.3,60,-0.3647,-0.4837,-0.5447,-0.5767,-0.5977,-0.6157,154.1249164,0.005150485,1.686659476
exp407,20,0,10,0,10,0,0,10,15,5,0,-1.2,60,-0.6527,-0.6997,-0.7217,-0.7377,-0.7497,-0.7617,107.0049553,8.86E-06,0.106342803
exp408,5,0,0,15,15,0,10,0,20,5,0,-1.4,120,-0.4867,-0.6117,-0.6727,-0.7037,-0.7257,-0.7427,145.6784255,0.000733694,1.507415808
exp409,5,5,0,0,5,5,0,0,15,25,10,-1.3,60,-0.6477,-0.7037,-0.7317,-0.7507,-0.7667,-0.7797,132.1935796,0.000103281,0.106095083
exp410,10,0,10,15,0,0,10,0,0,20,5,-1.2,90,-0.6417,-0.7057,-0.7367,-0.7587,-0.7767,-0.7927,147.0544421,0.000394255,0.121727892
exp411,0,15,0,15,10,0,5,5,15,0,5,-1.4,120,-0.5277,-0.6577,-0.7047,-0.7297,-0.7487,-0.7657,153.1553257,0.000723189,0.421351844
exp412,0,0,0,20,5,5,0,10,0,30,0,-1.4,150,-0.1477,-0.4497,-0.5077,-0.5597,-0.6107,-0.6587,617.0748041,2.754251249,7.483584052
exp413,0,0,15,5,0,0,5,5,20,5,15,-1.2,120,-0.6687,-0.7297,-0.7607,-0.7807,-0.7977,-0.8127,132.8415735,6.68E-05,0.129375968
exp414,15,5,5,0,15,0,0,5,10,5,10,-1.5,150,-0.3587,-0.4587,-0.5197,-0.5607,-0.5907,-0.6137,155.8196972,0.005226699,1.683707463
exp415,15,0,0,0,0,10,25,15,0,5,0,-1.4,90,-0.2957,-0.4137,-0.5047,-0.5587,-0.5937,-0.6187,203.8614633,0.055808349,3.016396886
exp416,15,5,5,10,5,5,0,5,5,15,0,-1.1,90,-0.5407,-0.6367,-0.6787,-0.7067,-0.7307,-0.7507,160.4306411,0.001761552,0.378464037
exp417,0,5,0,5,0,10,0,10,15,5,20,-1.1,60,,,,,,,,,
exp418,0,10,0,5,15,10,5,5,15,5,0,-1.1,90,-0.2537,-0.3327,-0.3787,-0.4117,-0.4377,-0.4597,142.0833379,0.035421256,6.774794973
exp419,5,5,0,5,10,0,10,15,0,5,15,-1.1,60,-0.4037,-0.5357,-0.5857,-0.6127,-0.6307,-0.6457,151.1214488,0.003337984,1.684124869
exp420,0,10,0,0,10,5,5,25,0,5,10,-1.4,120,-0.2047,-0.2777,-0.3167,-0.3427,-0.3657,-0.3847,113.9215275,0.029319666,11.32372505
exp421,5,0,5,0,5,15,5,5,20,0,10,-1.1,60,-0.4647,-0.5937,-0.6427,-0.6747,-0.6997,-0.7217,169.1089549,0.004121814,0.314551911
exp422,0,10,0,5,5,20,5,0,15,5,5,-1.1,60,-0.4747,-0.6087,-0.6867,-0.7307,-0.7617,-0.7857,202.5214084,0.009046526,0.359401243
exp423,15,15,0,0,0,0,0,0,35,0,5,-1.2,150,-0.7037,-0.7597,-0.7907,-0.8137,-0.8337,-0.8517,149.5643729,0.000146935,0.112670934
exp424,0,0,10,15,0,0,0,0,25,15,5,-1.2,60,-0.7257,-0.7757,-0.7987,-0.8157,-0.8287,-0.8417,116.4962116,5.80E-06,0.107981518
exp425,15,15,5,0,5,0,0,10,5,5,10,-1.2,90,-0.6577,-0.7097,-0.7357,-0.7537,-0.7687,-0.7827,123.0076407,3.58E-05,0.103060913
exp426,0,0,5,20,0,5,0,0,15,15,10,-1.2,120,-0.5257,-0.6597,-0.7087,-0.7387,-0.7627,-0.7827,154.173667,0.0006107,0.828996018
exp427,0,5,0,20,0,10,10,0,10,15,0,-1.2,120,-0.2297,-0.3227,-0.3607,-0.3867,-0.4067,-0.4247,128.0510979,0.028948774,13.23965668
exp428,25,5,5,0,0,5,0,5,20,0,5,-1.5,60,-0.6927,-0.7607,-0.7927,-0.8147,-0.8317,-0.8477,144.0411804,0.000103716,0.145887639
exp429,0,5,10,5,5,0,0,5,10,20,10,-1.3,60,-0.5077,-0.6217,-0.6657,-0.6977,-0.7247,-0.7467,158.8932507,0.001508315,0.457973109
exp430,0,5,0,5,0,10,20,20,0,0,10,-1.3,120,-0.2387,-0.3237,-0.3737,-0.4087,-0.4367,-0.4617,160.3650664,0.074876277,6.992674348
exp431,5,5,5,0,5,5,20,5,10,5,5,-1.4,150,-0.2507,-0.3757,-0.4357,-0.4777,-0.5087,-0.5337,157.4544072,0.018745655,20.49275383
exp432,0,0,5,15,10,0,0,25,0,15,0,-1.2,150,-0.2107,-0.3247,-0.3747,-0.4097,-0.4387,-0.4627,159.3364767,0.064105455,20.1860078
exp433,5,0,10,10,5,0,0,20,20,0,0,-1.1,120,-0.6637,-0.7167,-0.7387,-0.7537,-0.7657,-0.7767,105.7489116,4.42E-06,0.222290924
exp434,5,5,0,15,5,5,15,10,10,0,0,-1.4,90,-0.3067,-0.4247,-0.5277,-0.5837,-0.6157,-0.6387,224.7874939,0.059616904,5.124335079
exp435,0,0,5,0,0,5,15,15,5,10,15,-1.2,90,-0.2867,-0.3817,-0.4717,-0.5467,-0.5957,-0.6297,247.8544674,0.153781136,2.616120035
exp436,10,0,5,0,0,15,10,0,5,20,5,-1.1,150,-0.4877,-0.5757,-0.6177,-0.6457,-0.6667,-0.6857,149.8507367,0.001722463,0.723211602
exp437,5,5,0,20,5,0,5,15,0,5,10,-1.4,60,-0.3517,-0.4317,-0.4727,-0.5027,-0.5277,-0.5487,118.3129635,0.001300517,3.835792607
exp438,5,0,5,10,10,0,0,5,20,0,15,-1.1,150,-0.6827,-0.7287,-0.7507,-0.7667,-0.7807,-0.7927,105.945153,5.64E-06,0.100947486
exp439,5,30,0,0,0,0,5,10,10,10,0,-1.5,90,-0.6387,-0.7017,-0.7327,-0.7527,-0.7697,-0.7847,139.3249565,0.000178036,0.150575385
exp440,20,5,5,0,0,10,0,20,0,0,10,-1.5,150,-0.6927,-0.7467,-0.7747,-0.7937,-0.8107,-0.8247,128.2295968,3.25E-05,0.10083454
exp441,0,0,5,5,5,25,5,0,20,0,5,-1.2,120,-0.2327,-0.3187,-0.3697,-0.4117,-0.4507,-0.4797,171.9849804,0.105437578,5.261004419
exp442,0,5,15,5,5,0,10,20,0,5,5,-1.3,90,-0.3557,-0.4537,-0.5067,-0.5437,-0.5707,-0.5937,148.3492467,0.005792042,3.887470035
exp443,10,0,0,10,0,5,15,20,5,0,5,-1.5,150,-0.2857,-0.3767,-0.4387,-0.4847,-0.5197,-0.5487,173.2528165,0.037081989,3.367291586
exp444,0,10,0,0,15,15,10,10,10,0,0,-1.2,150,-0.2387,-0.3237,-0.3677,-0.4007,-0.4267,-0.4497,137.4455799,0.029886924,14.01512102
exp445,20,0,10,15,5,0,0,5,5,10,0,-1.1,120,-0.5627,-0.6427,-0.6777,-0.7007,-0.7197,-0.7357,126.3779622,0.000138316,0.314761012
exp446,5,0,20,0,0,0,5,5,30,5,0,-1.3,60,-0.6947,-0.7457,-0.7727,-0.7917,-0.8087,-0.8237,131.4093001,4.94E-05,0.133249415
exp447,0,10,0,0,0,0,15,30,5,10,0,-1.4,150,-0.5277,-0.6087,-0.6467,-0.6727,-0.6937,-0.7127,154.0772425,0.001941417,0.647761725
exp448,0,20,10,5,5,0,0,5,10,5,10,-1.1,120,-0.6087,-0.6687,-0.6997,-0.7217,-0.7387,-0.7537,129.4890785,0.000140736,0.153043883
exp449,5,10,0,0,15,0,0,15,15,10,0,-1.1,150,-0.3427,-0.4707,-0.5457,-0.5877,-0.6137,-0.6337,166.9209644,0.007933936,2.506541082
exp450,0,5,5,0,10,15,5,15,5,0,10,-1.5,90,-0.2257,-0.3047,-0.3527,-0.3887,-0.4157,-0.4417,148.6735631,0.062564403,4.529626799
exp451,0,0,5,0,0,0,25,5,20,15,0,-1.1,90,-0.4787,-0.5727,-0.6117,-0.6377,-0.6577,-0.6747,149.5071392,0.002295804,6.208403707
exp452,15,15,0,5,5,0,5,5,15,5,0,-1.2,120,-0.4807,-0.5657,-0.6037,-0.6287,-0.6487,-0.6657,159.8930879,0.004859711,0.862197814
exp453,5,10,10,5,0,0,0,20,5,15,0,-1.3,60,-0.6377,-0.6987,-0.7307,-0.7537,-0.7737,-0.7907,148.5200074,0.000335926,0.107298695
exp454,0,0,10,10,10,0,0,20,0,10,10,-1.3,90,-0.3997,-0.5357,-0.5827,-0.6077,-0.6257,-0.6417,138.472608,0.001431036,0.744850464
exp455,5,10,0,5,0,20,5,20,0,5,0,-1.1,90,-0.6317,-0.6987,-0.7327,-0.7557,-0.7747,-0.7917,136.5103346,0.000144717,0.126497248
exp456,5,5,0,15,15,0,0,0,30,0,0,-1.5,90,-0.6427,-0.6877,-0.7117,-0.7287,-0.7427,-0.7557,110.5018765,1.67E-05,0.131168569
exp457,5,10,0,5,5,0,0,0,35,5,5,-1.2,120,-0.6307,-0.6697,-0.6907,-0.7067,-0.7207,-0.7327,105.1888184,1.36E-05,0.109155613
exp458,5,5,10,15,0,0,0,15,5,10,5,-1.4,60,-0.7227,-0.7777,-0.8077,-0.8307,-0.8497,-0.8667,139.5414698,5.01E-05,0.115746667
exp459,0,10,10,0,5,15,0,5,5,20,0,-1.3,150,-0.2017,-0.2687,-0.3057,-0.3327,-0.3547,-0.3737,116.9422547,0.043135928,5.811461397
exp460,0,20,5,10,5,0,5,0,0,25,0,-1.2,120,-0.6687,-0.7357,-0.7707,-0.7957,-0.8167,-0.8347,156.4358836,0.000366255,0.116029818
exp461,10,35,0,5,0,0,0,5,10,5,0,-1.5,90,-0.6817,-0.7357,-0.7667,-0.7887,-0.8077,-0.8247,139.1821433,0.00011032,0.127892744
exp462,0,0,0,5,10,15,5,5,15,10,5,-1.5,60,-0.2377,-0.3337,-0.3877,-0.4247,-0.4537,-0.4777,162.2272518,0.068500306,7.211650317
exp463,10,5,5,0,5,5,10,0,5,25,0,-1.5,60,-0.4797,-0.5577,-0.5977,-0.6247,-0.6447,-0.6637,150.6793709,0.002942054,0.53693525
exp464,10,15,0,5,0,5,0,0,5,20,10,-1.5,150,-0.6707,-0.7327,-0.7647,-0.7877,-0.8067,-0.8237,146.3964807,0.00017719,0.108526491
exp465,0,5,0,0,15,15,0,0,0,25,10,-1.5,120,-0.4037,-0.4797,-0.5387,-0.5867,-0.6257,-0.6557,174.5039949,0.011592365,0.471439361
exp466,5,5,0,5,20,0,5,10,0,15,5,-1.4,60,-0.2727,-0.3537,-0.3977,-0.4287,-0.4517,-0.4717,132.4443843,0.016954625,6.285422236
exp467,0,0,0,20,0,0,15,20,0,0,15,-1.5,60,-0.5127,-0.5767,-0.6087,-0.6327,-0.6517,-0.6677,111.0314982,6.71E-05,1.866023556
exp468,5,10,15,5,0,5,0,5,15,10,0,-1.4,90,-0.6877,-0.7497,-0.7797,-0.8017,-0.8187,-0.8347,138.5089293,7.23E-05,0.097916284
exp469,0,20,0,0,15,10,5,0,20,0,0,-1.3,150,-0.1837,-0.2567,-0.2897,-0.3137,-0.3347,-0.3517,98.15362364,0.019929255,14.70223143
exp470,25,0,5,0,5,0,5,10,10,5,5,-1.2,60,-0.6557,-0.7077,-0.7347,-0.7527,-0.7687,-0.7827,120.3617837,2.44E-05,0.112085269
exp471,15,0,0,5,5,5,10,5,15,5,5,-1.4,60,-0.4117,-0.5057,-0.5497,-0.5777,-0.5997,-0.6187,144.8417821,0.003188958,1.5030919
exp472,10,5,0,5,0,0,5,15,30,0,0,-1.4,90,-0.6327,-0.7017,-0.7397,-0.7667,-0.7877,-0.8067,167.1667697,0.000983043,0.168227722
exp473,5,15,0,0,5,10,5,0,0,20,10,-1.3,150,-0.5707,-0.6597,-0.6987,-0.7227,-0.7427,-0.7597,151.485909,0.000815998,0.11893838
exp474,0,0,5,0,20,5,15,15,5,0,5,-1.3,90,-0.2417,-0.3237,-0.3657,-0.3957,-0.4197,-0.4407,124.911027,0.017543092,14.1292918
exp475,5,0,5,0,5,10,20,10,5,10,0,-1.5,150,-0.2477,-0.3317,-0.3847,-0.4247,-0.4557,-0.4827,156.428686,0.049190759,5.52868326
exp476,10,10,5,0,0,0,0,15,10,15,5,-1.3,120,-0.6727,-0.7397,-0.7767,-0.8037,-0.8257,-0.8447,160.932849,0.000316775,0.161066758
exp477,5,5,0,5,5,5,0,25,15,0,5,-1.2,120,-0.5727,-0.6537,-0.6827,-0.7017,-0.7167,-0.7297,126.0529671,0.000158196,0.124207227
exp478,5,5,25,5,0,0,0,5,10,15,0,-1.4,60,-0.7217,-0.7837,-0.8167,-0.8397,-0.8597,-0.8757,142.0407772,4.84E-05,0.11653252
exp479,0,5,5,5,5,5,15,5,5,10,10,-1.5,120,-0.3097,-0.4037,-0.4567,-0.4937,-0.5207,-0.5427,143.7045741,0.010491538,4.012983185
exp480,5,0,5,0,0,0,20,15,0,20,5,-1.2,90,-0.5327,-0.6027,-0.6427,-0.6707,-0.6937,-0.7137,137.3787186,0.00049152,1.644074026
exp481,5,15,0,10,0,0,5,5,20,0,10,-1.1,60,-0.6557,-0.7127,-0.7427,-0.7647,-0.7837,-0.8007,143.4185389,0.000178813,0.142501973
exp482,0,5,0,10,20,0,0,25,0,0,10,-1.4,120,-0.2537,-0.3267,-0.3657,-0.3937,-0.4167,-0.4367,121.5780733,0.016096635,9.996523662
exp483,5,0,5,0,5,5,10,10,25,5,0,-1.5,90,-0.6357,-0.6957,-0.7227,-0.7407,-0.7547,-0.7687,126.18283,7.38E-05,0.138275128
exp484,20,15,0,0,0,0,5,5,15,5,5,-1.1,90,-0.5197,-0.5937,-0.6287,-0.6537,-0.6737,-0.6917,150.2742053,0.002289412,0.569716746
exp485,10,5,0,10,0,0,15,0,25,0,5,-1.3,90,-0.6177,-0.7077,-0.7487,-0.7757,-0.7987,-0.8187,185.2942403,0.002487356,0.953414655
exp486,0,5,10,0,20,0,10,5,0,15,5,-1.4,90,-0.2747,-0.3557,-0.4007,-0.4307,-0.4547,-0.4747,129.8508233,0.013854653,7.771231165
exp487,25,0,15,0,5,0,0,5,15,0,5,-1.1,120,-0.6527,-0.7007,-0.7267,-0.7447,-0.7617,-0.7767,123.1004526,5.29E-05,0.147937468
exp488,0,20,0,5,5,0,10,5,10,15,0,-1.5,90,-0.4207,-0.5097,-0.5477,-0.5727,-0.5917,-0.6077,134.4691067,0.002083978,0.873776066
exp489,0,0,0,20,10,5,5,0,10,20,0,-1.3,60,-0.3557,-0.4377,-0.4857,-0.5207,-0.5477,-0.5717,151.8052593,0.010423112,1.877982636
exp490,0,10,5,15,5,0,0,25,5,0,5,-1.3,120,-0.3477,-0.4307,-0.4787,-0.5107,-0.5357,-0.5567,134.6025841,0.004654334,2.276287029
exp491,10,15,5,0,5,0,0,20,0,5,10,-1.2,90,-0.6577,-0.7037,-0.7277,-0.7447,-0.7607,-0.7747,114.5776409,1.60E-05,0.111846938
exp492,25,0,0,10,0,0,10,15,5,5,0,-1.5,150,-0.5917,-0.6517,-0.6807,-0.6997,-0.7157,-0.7297,118.1610088,7.30E-05,0.170014703
exp493,0,5,0,10,0,5,10,5,20,10,5,-1.4,120,-0.3447,-0.4517,-0.5177,-0.5567,-0.5837,-0.6057,170.242982,0.015525836,2.720794926
exp494,0,5,0,20,5,0,0,30,5,5,0,-1.4,60,-0.5137,-0.6157,-0.6697,-0.7017,-0.7267,-0.7467,157.5839864,0.001530298,0.252993495
exp495,20,0,10,10,5,0,0,15,10,0,0,-1.2,90,-0.6457,-0.6967,-0.7257,-0.7467,-0.7647,-0.7817,137.2037145,0.000156608,0.115623873
exp496,0,0,5,0,5,10,0,10,15,15,10,-1.1,150,-0.2247,-0.3187,-0.3737,-0.4107,-0.4387,-0.4627,168.8457266,0.092298131,5.264905116
exp497,0,0,5,5,25,0,5,10,0,10,10,-1.1,60,-0.3637,-0.4567,-0.5067,-0.5387,-0.5627,-0.5827,138.4541465,0.003781452,1.72497182
exp498,0,10,0,0,5,30,0,5,10,10,0,-1.5,120,-0.3207,-0.3947,-0.4437,-0.4857,-0.5227,-0.5527,155.4542449,0.019910003,0.687454139
exp499,0,10,10,20,5,0,0,15,5,5,0,-1.2,150,-0.4247,-0.5067,-0.5487,-0.5747,-0.5947,-0.6127,126.2221828,0.00084102,0.819524334
exp500,0,5,0,25,10,0,10,0,10,10,0,-1.4,60,-0.3827,-0.4527,-0.4847,-0.5077,-0.5267,-0.5457,119.0662409,0.001641781,3.906942231
exp501,8,0,8,0,8,8,0,0,0,7,31,-1.5,90,-0.4297,-0.5437,-0.5987,-0.6357,-0.6607,-0.6807,171.2911809,0.006503109,-38.40296561
exp502,8,0,0,0,8,0,0,15,0,15,24,-1.4,90,-0.3827,-0.4637,-0.5067,-0.5337,-0.5537,-0.5717,121.5376751,0.00117681,0.460312035
exp503,8,0,8,8,0,0,8,15,15,0,8,-1.5,180,-0.6617,-0.7267,-0.7547,-0.7737,-0.7877,-0.8007,126.1679994,3.10E-05,0.173821666
exp504,8,0,8,0,0,0,8,0,0,15,31,-1.4,60,-0.6407,-0.7367,-0.7857,-0.8167,-0.8397,-0.8587,153.5379369,0.000140037,1.292141038
exp505,0,0,8,8,8,0,0,15,0,0,31,-1.5,150,-0.0297,-0.2697,-0.3077,-0.3297,-0.3477,-0.3627,179.0152727,1.451688954,56.19814721
exp506,0,0,8,8,0,8,8,0,15,0,23,-1.5,60,-0.4427,-0.5417,-0.6117,-0.6577,-0.6907,-0.7177,167.3517618,0.003536594,0.611093864
exp507,8,0,0,0,8,8,0,7,7,7,25,-1.1,150,-0.2067,-0.2987,-0.3507,-0.3857,-0.4137,-0.4357,162.8859336,0.120759322,2.504246076
exp508,8,0,0,0,0,8,0,15,0,0,39,-1.5,60,-0.6397,-0.7227,-0.7587,-0.7827,-0.8007,-0.8177,151.7232692,0.00037635,0.114992664
exp509,8,0,0,0,0,8,8,0,15,0,31,-1.4,180,-0.4387,-0.5597,-0.6527,-0.7127,-0.7527,-0.7857,236.1783029,0.034323437,0.162445321
exp510,8,0,8,0,0,8,0,0,15,15,16,-1.1,180,-0.4617,-0.5897,-0.6917,-0.7517,-0.8037,-0.8357,243.3468439,0.033369231,0.126189746
