Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp800,0,20,0,15,25,0,0,2,0,8,8,-1.3,180,-0.3167,-0.3487,-0.3697,-0.3877,-0.4027
exp801,0,28,0,25,17,0,0,0,0,0,0,-1,180,-0.3767,-0.3997,-0.4167,-0.4307,-0.4437
exp802,0,30,0,23,17,0,0,0,0,0,0,-1.4,42,-0.1227,-0.3737,-0.3867,-0.3917,
exp803,5,20,0,25,17,0,0,0,0,3,3,-1.5,30,-0.1587,-0.3437,-0.3717,-0.3847,-0.3967
exp804,0,20,4,24,17,0,0,0,5,0,0,-1.5,180,-0.3157,-0.3597,-0.3897,-0.4147,-0.4357
exp805,0,20,0,15,22,0,0,5,0,8,8,-1.4,180,-0.3007,-0.3337,-0.3567,-0.3747,-0.3897
exp806,0,20,0,25,17,5,0,0,0,0,3,-1,180,-0.5187,-0.5567,-0.5817,-0.6007,-0.6167
exp807,0,20,0,25,25,0,0,0,0,0,0,-1.5,30,-0.1627,-0.3797,-0.3867,-0.3917,-0.3977
exp808,5,30,0,15,17,0,0,0,0,3,3,-1.5,30,-0.2047,-0.3507,-0.3677,-0.3807,-0.3897
exp809,0,30,0,15,20,0,5,0,0,0,0,-1,180,-0.3237,-0.3437,-0.3587,-0.3697,-0.3807
exp810,0,30,0,15,17,0,0,4,0,4,4,-1.5,30,-0.3497,-0.3867,-0.4107,-0.4307,-0.4467
exp811,0,20,0,15,27,0,0,0,0,8,8,-1.5,78,-0.0637,-0.1037,-0.1777,-0.3217,-0.3447
exp812,0,20,0,23,22,0,0,0,5,0,0,-1,30,-0.5157,-0.5907,-0.6377,-0.6717,-0.6947
exp813,0,30,0,15,17,0,0,0,0,8,8,-1.3,180,-0.0497,-0.0807,-0.1237,-0.3187,-0.3357
exp814,0,20,0,18,27,0,0,0,5,0,0,-1.3,180,-0.6407,-0.6647,-0.6797,-0.6917,-0.7027
exp815,0,20,0,15,23,0,5,0,0,7,7,-1.5,180,-0.0527,-0.0757,-0.1037,-0.1387,-0.2867
exp816,5,20,0,25,17,0,0,0,0,3,3,-1.5,136,-0.0577,-0.0867,-0.1187,-0.1497,-0.1797
exp817,5,20,0,18,27,0,0,0,0,0,0,-1.5,180,-0.0617,-0.0837,-0.1097,-0.1367,-0.1687
exp818,5,30,0,15,20,0,0,0,0,0,0,-1.5,30,-0.3077,-0.3557,-0.3717,-0.3837,-0.3957
exp819,0,20,0,15,27,0,5,3,0,0,0,-1.5,180,-0.3647,-0.4017,-0.4247,-0.4427,-0.4587
exp820,5,20,0,25,17,0,0,0,0,3,3,-1,30,-0.5047,-0.5307,-0.5487,-0.5637,-0.5767
exp821,5,20,0,25,20,0,0,0,0,0,0,-1.5,180,-0.0657,-0.0917,-0.1197,-0.1477,-0.1757
exp822,0,20,0,25,25,0,0,0,0,0,0,-1.5,30,-0.1447,-0.3767,-0.3857,-0.3907,-0.3947
exp823,0,20,0,25,21,0,4,0,0,0,0,-1.5,180,-0.1177,-0.3967,-0.4047,-0.4097,-0.4147
exp824,0,30,0,15,17,0,0,0,0,0,8,-1,30,-0.7247,-0.7537,-0.7727,-0.7867,-0.7997
exp825,0,23,0,25,17,0,5,0,0,0,0,-1.1,86,-0.6537,-0.6887,-0.7127,-0.7317,-0.7477
exp826,5,21,0,15,22,0,0,1,5,0,1,-1.4,180,-0.0517,-0.0877,-0.2957,-0.3287,-0.3487
exp827,0,20,0,15,27,5,0,0,0,3,3,-1.5,180,-0.0117,-0.1837,-0.3267,-0.3527,-0.3627
exp828,5,30,0,15,20,0,0,0,0,0,0,-1.5,180,-0.0607,-0.0867,-0.1187,-0.1507,-0.1867
exp829,5,20,0,15,22,0,0,0,0,8,8,-1.5,180,-0.0597,-0.0797,-0.0167,-0.1247,-0.1527
exp830,0,20,0,15,27,0,0,0,0,8,8,-1.4,180,-0.0317,-0.0187,-0.0087,-0.1607,0.0053
exp831,0,30,0,15,17,3,5,0,0,0,0,-1.4,140,-0.0627,-0.0947,0.0003,-0.2997,-0.3537
exp832,0,26,0,15,21,0,0,0,0,8,8,-1.5,180,-0.0677,-0.0907,-0.1157,-0.1447,-0.1867
exp833,0,20,0,15,27,0,0,0,0,8,8,-1.5,180,-0.0297,-0.0927,-0.1217,-0.0017,-0.2487
exp834,5,28,5,15,17,0,0,0,0,0,0,-1.5,30,-0.3287,-0.3717,-0.3837,-0.3937,-0.4027
exp835,5,20,0,25,17,0,0,0,0,3,3,-1.5,37,-0.1427,-0.3237,-0.3627,-0.3797,-0.3917
exp836,0,20,0,25,17,0,0,0,0,8,8,-1.5,136,-0.0797,-0.0997,-0.1207,-0.1427,-0.1637
exp837,0,20,0,24,17,0,0,1,0,8,8,-1.5,135,-0.0727,-0.1397,0.0093,-0.3217,-0.3427
exp838,0,23,5,15,23,0,0,0,0,4,4,-1.5,180,-0.0727,-0.0377,-0.0287,-0.1257,-0.1467
exp839,0,20,3,22,17,0,0,0,0,8,8,-1.5,180,-0.0807,-0.0947,-0.1087,-0.1237,-0.1377
exp840,1,24,0,15,17,5,0,0,0,8,8,-1.5,180,-0.0907,-0.1137,-0.1377,-0.0257,-0.1887
