Mar. 3, 2025   22:44:47
Open Circuit Potential - Time
File: c:/users/guazh/data/banditlqround7_x0exp169_r20_3/2025-03-03-exp861\1acid_2ac-2025-03-03t22_43_23-lsvinphos\ocp_2025-03-03t22_44_28.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, 9.405e-4
2.000e-2, 6.322e-4
3.000e-2, 9.405e-4
4.000e-2, 9.405e-4
5.000e-2, 6.322e-4
6.000e-2, 9.405e-4
7.000e-2, 6.322e-4
8.000e-2, 9.405e-4
9.000e-2, 9.405e-4
1.000e-1, 6.322e-4
1.100e-1, 9.405e-4
1.200e-1, 6.322e-4
1.300e-1, 9.405e-4
1.400e-1, 9.405e-4
1.500e-1, 6.322e-4
1.600e-1, 9.405e-4
1.700e-1, 6.322e-4
1.800e-1, 9.405e-4
1.900e-1, 9.405e-4
2.000e-1, 6.322e-4
2.100e-1, 9.405e-4
2.200e-1, 6.322e-4
2.300e-1, 9.405e-4
2.400e-1, 9.405e-4
2.500e-1, 6.322e-4
2.600e-1, 9.405e-4
2.700e-1, 6.322e-4
2.800e-1, 9.405e-4
2.900e-1, 9.405e-4
3.000e-1, 6.322e-4
3.100e-1, 9.405e-4
3.200e-1, 6.322e-4
3.300e-1, 9.405e-4
3.400e-1, 9.405e-4
3.500e-1, 6.322e-4
3.600e-1, 9.405e-4
3.700e-1, 6.322e-4
3.800e-1, 9.405e-4
3.900e-1, 9.405e-4
4.000e-1, 6.322e-4
4.100e-1, 9.405e-4
4.200e-1, 6.322e-4
4.300e-1, 9.405e-4
4.400e-1, 9.405e-4
4.500e-1, 6.322e-4
4.600e-1, 9.405e-4
4.700e-1, 6.322e-4
4.800e-1, 9.405e-4
4.900e-1, 9.405e-4
5.000e-1, 6.322e-4
5.100e-1, 9.405e-4
5.200e-1, 6.322e-4
5.300e-1, 9.405e-4
5.400e-1, 9.405e-4
5.500e-1, 6.322e-4
5.600e-1, 9.405e-4
5.700e-1, 6.322e-4
5.800e-1, 9.405e-4
